"FogTawmjhVnJCoTiaxvZA","Breakfast & Brunch","0.7969132","Cafes","0.7930167","Bars","0.74146307"
"a2ZBDIXmwBm7IWnXR6LKg","Caterers","2.1041286","Mediterranean","1.322914","Event Planning & Services","0.87513375"
"MVHGmZEwtKrXH11ySGweEw","Seafood","2.5977159","Home Services","0.5229714","Event Planning & Services","0.36963072"
"HCCgrVnHQ2FI6lHsLvUQ","Breakfast & Brunch","2.0024552","Coffee & Tea","1.1557366","Venues & Event Spaces","0.9164907"
"qx6WhZ42eDKmBchZDax4dQ","Pizza","1.8189857","American (New)","1.0912706","Home Services","0.8221712"
"eS29S06lvsDW04wVrIVxg","Mexican","1.569783","Arts & Entertainment","1.1042427","Cafes","1.0480635"
"jsuUmIEefPjVads62Z5w","Breakfast & Brunch","1.5991015","American (New)","1.4779861","Mexican","1.2220994"
"Noi53T0PWNEN9mQRS3Ncg","Coffee & Tea","1.7455341","Breakfast & Brunch","1.3896813","Sandwiches","1.0342969"
"HGhXbgeMEcg1cIZwxyNDeg","Venues & Event Spaces","3.5135622","Event Planning & Services","2.0669281","Arts & Entertainment","1.7977124"
"Rg43a31sV7gNLZMjyZdCg","Event Planning & Services","0.6293659","American (New)","0.50738597","Breakfast & Brunch","0.46249616"
"yQHIYKXH3HAdhh1W52OMQ","Arts & Entertainment","2.0236163","Caterers","1.8737181","Event Planning & Services","1.1191714"
"Iq7NqQDsESu3vr9iEGuTA","Breakfast & Brunch","1.919807","Coffee & Tea","1.0877749","Cafes","0.7930167"
"C8DGU9cDDjbOJfCaGXxDQ","Nightlife","1.4168881","Arts & Entertainment","1.1084876","American (New)","0.7510079"
"6tvduBzjLI1ISfs3FqTg","Mexican","1.1001829","Nightlife","0.8827303","American (Traditional)","0.6894903"
"AfN3Z1U6QPEgAb5F2CQm8w","Bars","1.7785879","Nightlife","1.5481653","Seafood","0.94447374"
"frCxZS7lPhEnQRJ3UY6m7A","Mexican","1.3425682","American (Traditional)","0.9687557","Venues & Event Spaces","0.8896987"
"xIbtbAJLWLNZcqfqF4fNw","Nightlife","0.8827303","Arts & Entertainment","0.835334","American (New)","0.74080074"
"IsoLzudHC50oJLiEWpwVw","Venues & Event Spaces","0.9725833","Breakfast & Brunch","0.91093063","American (New)","0.6279055"
"7m1Oa1VYV98UUuo6i0EZg","Burgers","1.8960714","Event Planning & Services","0.47496772","Home Services","0.42687905"
"3N9U549Zse8UPMwKZAjAQ","Coffee & Tea","1.3248101","Breakfast & Brunch","1.1168821","American (New)","1.0815291"
"d10IxZPirVJlOSpdRZJczA","Caterers","1.3382806","Arts & Entertainment","1.0441201","Salad","1.0370239"
"7MNBIoGznDHhC1AfxGWOFw","Home Services","3.39218","Event Planning & Services","2.89955","Gas Stations","1.2636107"
"Gz9SlLqxS6wnxPvgdOQNrA","Nightlife","1.3441648","Bars","1.3418227","Venues & Event Spaces","1.2392571"
"wZukjLaf1V2dLRQapZriw","Bakeries","2.0122273","Nightlife","1.047816","Gas Stations","0.8790817"
"DymZ5vpm7vkSsR4sflw","Japanese","2.6909292","Venues & Event Spaces","1.5427706","Event Planning & Services","1.2478967"
"cHdJXLlKNWixBXpDwEGbA","Asian Fusion","4.7558136","Chinese","3.295957","Mexican","1.6108807"
"QsJ6orXvVB7xzMpqHzSQ","Cafes","1.7647674","Venues & Event Spaces","1.1222383","Coffee & Tea","0.8082078"
"VLDFjeqpUgWhnVuB8GuEg","Mediterranean","1.7336974","Coffee & Tea","0.8589578","Salad","0.69430643"
"SurnOSM2bVVN4Js3G23RQ","Venues & Event Spaces","0.8801079","Event Planning & Services","0.7809146","American (Traditional)","0.702757"
"utIA0LyQmwP9DRyxUe6qQ","Breakfast & Brunch","1.8247492","Coffee & Tea","1.0490218","Event Planning & Services","0.64598787"
"6nKR80xEGHYf2UxAeCug","Gas Stations","5.3582773","Caterers","1.8737181","Event Planning & Services","1.7200298"
"3l54GTr8E3XPbIxnFsAA","Burgers","1.737833","Event Planning & Services","0.55998784","Cafes","0.48080397"
"D3dAxQWuuClz4MambeHA","Bakeries","2.390819","Grocery","2.358272","Coffee & Tea","1.7270961"
"OgJ0KxwJcJ9R5bUK0ixCbg","Coffee & Tea","2.8446255","Bakeries","1.8021171","Cafes","1.7815397"
"NJ0RzuWd5xDqfJejYQZ65g","Burgers","1.6421491","Chinese","1.4641563","Grocery","0.8673832"
"LHyj66waFlDcw9UToo27JQ","Seafood","2.3879323","Event Planning & Services","0.97705686","Barbeque","0.92470217"
"fbQaKW0Lte0JQopbnjdKg","Mexican","0.83178115","American (New)","0.39304522","Event Planning & Services","0.3604809"
"KFAJsmQ6GnHxyfmv16s9VA","Arts & Entertainment","1.4235113","Venues & Event Spaces","1.2224927","Event Planning & Services","1.1711729"
"sJNcipFYElitBrtiJx0ezQ","Burgers","1.1649202","American (New)","0.93372333","Venues & Event Spaces","0.70990807"
"VMr8sgoQOW0fo0qVJENajA","Asian Fusion","2.7234428","American (Traditional)","1.619783","Arts & Entertainment","1.4288702"
"KuQkfSUTwu5LIwPB4bvg","American (Traditional)","1.2346067","Nightlife","1.1536146","American (New)","1.0455792"
"N8uKQ5Vdb1LAhqXT25Rg","Pizza","1.9178094","Nightlife","0.8827303","Home Services","0.7777537"
"0FUtlsQrJI7LhqDPxLumEw","Barbeque","0.9797244","Burgers","0.8334197","American (Traditional)","0.75826406"
"Ja4stXdNYr39u5CZHMNtjw","Mexican","1.1388037","Event Planning & Services","0.8979218","Arts & Entertainment","0.77848715"
"JIETwXSEGIHMNyxZVEnNKQ","Sandwiches","1.0154382","Cafes","0.94797456","Coffee & Tea","0.8814591"
"rhH9sL3XGFpoJXcxUpEWA","Burgers","1.8183302","American (New)","1.0332168","American (Traditional)","0.9498181"
